1,2,3,4,5,6
4312.0571,8.455,2.47349,1383.1964,39.024,191.0587
8049.9331,14.062,2.467242,990.8306,191.86,249.3077
4876.9702,11.392,2.471188,998.8838,44.689,225.5982
4258.5264,7.298,2.460666,1760.5524,57.907,197.9676
3828.1875,6.586,2.470202,1773.9846,42.343,190.3269
4125.7461,6.586,2.479737,2160.9863,60.654,194.1913
3291.3855,5.874,2.469544,2560.3865,41.885,178.4046
4274.9741,6.942,2.461652,1765.4681,40.398,190.3269
3845.2334,6.23,2.469544,2551.2319,34.962,178.4046
5811.5137,17.533,2.460008,599.4709,34.561,210.0918
1649.579,4.45,2.471517,2560.6694,45.032,178.4046
5279.7954,7.565,2.460995,1767.179,59.681,197.9676
4728.9385,7.387,2.458693,1766.8383,59.452,197.9676
3293.1799,6.052,2.457378,2170.3088,41.485,185.7625
3998.05,8.366,2.47612,1384.5734,41.771,191.0587
1471.0438,4.45,2.468886,2176.4915,47.436,171.4773
4219.0513,6.942,2.460008,1768.1486,48.752,195.139
4191.8369,7.565,2.461652,1769.1366,45.833,195.139
5509.4692,8.366,2.482368,1760.9318,146.599,218.3649
4921.8281,11.125,2.472503,998.6472,43.03,225.5982
4305.1787,8.277,2.474147,1380.1864,49.324,199.8093
5309.7012,11.481,2.487629,1000.11,44.975,224.5843
1562.2551,4.628,2.472174,1779.55,51.613,195.139
4934.0894,13.528,2.199584,599.8845,61.111,215.4662
5045.9355,13.973,2.19498,599.468,63.801,215.4662
5953.2651,12.015,2.47349,998.6598,153.007,244.8175
5932.6309,17.177,2.463625,599.6136,35.419,210.0918
4764.8247,11.036,2.472832,1000.4792,61.283,221.5021
3638.8862,6.408,2.470859,2543.7661,41.942,178.4046
4120.9614,9.078,2.474147,1377.036,41.256,191.0587
6296.5791,8.722,2.465269,1754.7585,151.691,218.3649
2315.8713,9.078,2.001306,599.5698,151.749,150.709
2349.6646,5.607,2.463296,1773.3232,35.706,190.3269
3985.7888,6.319,2.488287,2164.3396,62.141,194.1913
4815.6636,10.68,2.460008,1000.5464,47.321,224.5843
4015.0962,17.355,2.377146,599.703,102.539,228.1527
5060.8882,6.942,2.472174,2543.8989,48.237,186.0936
5165.2583,10.769,2.469873,998.8508,41.656,225.5982
5334.522,17.444,2.434031,600.1171,50.411,214.6092
4024.3669,6.853,2.465598,1765.0552,41.141,190.3269
5824.0742,17.978,2.47053,599.0656,52.7,214.6092
6312.4292,8.722,2.456062,1759.9252,149.46,218.3649
5984.9648,7.654,2.46231,2152.4866,101.566,211.9429
6378.2212,19.58,2.478751,599.3279,60.768,215.4662
3432.2402,5.607,2.468229,2559.7729,54.531,186.0936
4556.6831,8.989,2.473819,1370.374,59.452,192.8959
3488.7612,8.277,2.46231,1757.1842,35.477,190.3269
3451.0806,6.23,2.467571,2552.2886,40.111,178.4046
3770.47,5.785,2.470859,2555.8533,52.929,186.0936
4708.9014,8.811,2.482697,1387.361,76.389,188.4414
4332.3926,9.523,2.475134,1376.0936,58.079,192.8959
4215.4624,6.942,2.463296,1768.7034,39.082,190.3269
3986.0879,6.675,2.472174,2157.1172,59.452,194.1913
4260.3203,8.366,2.483683,1376.2284,50.926,199.8093
5260.3569,17.622,2.415289,599.4713,50.239,214.6092
2172.3254,4.806,2.467571,2176.1252,59.795,194.1913
6132.0996,9.434,2.470202,1368.8383,151.462,231.327
4850.0552,7.654,2.463296,1763.9001,51.041,195.139
3307.2354,5.963,2.463296,2162.1406,35.191,185.7625
2938.8008,6.497,2.472503,1765.2928,42.744,190.3269
4036.6282,6.853,2.460666,1767.1904,41.828,190.3269
4018.6851,6.853,2.463296,1763.5082,40.626,190.3269
4282.7495,6.586,2.466584,2537.3164,97.618,210.8388
3368.5413,6.408,2.466913,2156.5198,39.31,185.7625
4906.2773,8.366,2.45935,1760.7222,81.196,205.0572
6029.2251,15.931,2.367281,599.7399,52.986,214.6092
5875.8101,18.156,2.481053,599.8808,39.425,210.0918
4264.5073,8.722,2.473161,1379.1196,46.806,199.8093
3295.2732,5.518,2.472174,2559.8391,48.637,186.0936
5099.4658,10.68,2.472503,999.8788,41.485,225.5982
4737.9097,6.764,2.46494,2547.6831,104.771,210.8388
5401.2119,10.769,2.475791,999.1234,44.861,224.5843
4620.3813,9.968,2.475134,1372.3298,80.051,188.4414
4351.5322,6.586,2.463625,2153.3064,78.506,207.3997
4699.0327,6.586,2.463625,2549.2273,81.882,193.8919
4275.2729,8.633,2.473819,1386.3602,57.449,192.8959
5084.8125,10.769,2.473819,998.8292,45.49,225.5982
4242.6763,6.675,2.467571,1762.1674,38.853,190.3269
5926.9482,12.816,2.473161,997.5886,59.28,221.5021
4425.9966,6.319,2.465269,2547.7297,59.681,188.5268
5409.2861,11.125,2.470859,999.6064,43.373,224.5843
6064.2144,12.905,2.477107,999.042,76.79,229.4368
3501.9194,6.586,2.459022,2161.4021,51.098,171.4773
5619.2222,8.277,2.461323,1762.3365,78.049,205.0572
4412.8379,8.633,2.474805,1386.2394,37.308,191.0587
5239.7222,10.235,2.472832,1371.9868,74.901,188.4414
4032.7405,6.853,2.463954,1768.2626,40.684,190.3269
7125.5571,9.968,2.467242,1369.8986,100.822,233.2595
5863.8486,18.334,2.479408,599.3689,38.567,210.0918
5568.084,12.549,2.469544,999.7178,60.368,221.5021
4314.4492,9.167,2.471846,1380.749,63.686,192.8959
4666.7349,7.12,2.462639,2153.0234,101.795,211.9429
6305.5513,18.334,2.478751,599.096,45.719,214.6092
4681.9868,7.209,2.466256,2160.8213,96.874,211.9429
6050.458,17.622,2.471846,599.0142,50.926,214.6092
4696.9395,7.298,2.46231,2149.8784,80.624,207.3997
5061.7852,11.036,2.47349,999.7018,45.032,224.5843
6350.1099,17.889,2.484012,599.1665,48.008,214.6092
4303.9824,8.366,2.481053,1379.0878,38.338,191.0587
6153.6313,13.172,2.47908,998.9794,79.307,229.4368
4804.2998,11.125,2.471188,999.563,36.335,225.5982
7029.8599,9.968,2.466913,1366.7466,93.212,233.2595
3763.2927,7.743,2.474805,1381.604,50.983,199.8093
6940.1436,12.994,2.470202,998.4086,99.277,235.4119
4535.749,9.256,2.471188,1376.4753,62.599,192.8959
4825.5327,11.125,2.472174,998.7372,36.793,225.5982
6916.2192,7.476,2.461652,2543.262,202.961,225.6616
3480.0886,6.141,2.459679,2163.5911,42.171,185.7625
3824.001,6.764,2.460337,2163.3271,60.539,194.1913
3936.4451,6.408,2.458693,2156.8613,58.536,194.1913
4428.0898,6.586,2.461652,2547.3525,99.621,210.8388
3890.3906,6.764,2.476449,1766.5806,42.915,190.3269
6391.6787,19.402,2.478751,600.0051,61.169,215.4662
5299.5332,7.12,2.465598,2160.7913,100.822,211.9429
5228.0596,6.764,2.461323,2549.499,83.599,193.8919
4917.043,10.146,2.46231,1753.5236,104.999,208.2467
2052.7039,4.895,2.210764,2568.3555,61.512,188.5268
2992.0325,5.963,2.472832,2558.7561,37.25,178.4046
5665.5757,7.209,2.463625,2546.9849,201.473,225.6616
5350.3726,11.392,2.470859,997.6348,43.831,225.5982
5636.8662,16.643,2.461323,599.9139,40.913,210.0918
5667.3691,16.198,2.4679,993.622,105.343,235.4119
6578.2886,9.612,2.467571,1362.8188,99.792,233.2595
5202.3408,11.214,2.474805,997.5388,42.572,225.5982
3602.1028,6.408,2.466584,2545.0037,36.564,178.4046
3643.6711,6.408,2.47053,2544.8889,43.545,178.4046
2916.0728,5.696,2.466913,2558.2644,37.537,178.4046
4653.8755,8.811,2.474476,1380.0394,39.31,191.0587
4941.8647,13.35,2.469544,999.3888,51.613,224.5843
6577.6904,9.434,2.46494,1370.1174,99.106,233.2595
3420.5769,6.141,2.4679,2551.5222,53.043,186.0936
5015.731,6.497,2.465269,2547.9321,83.027,193.8919
4039.3198,7.743,2.472174,1376.7026,52.414,199.8093
5660.1924,15.397,2.314341,600.0287,59.338,215.4662
4463.9766,11.481,2.47349,999.8216,40.855,225.5982
3964.5562,9.078,2.476778,1381.4749,38.853,191.0587
5712.8257,16.732,2.446855,600.2912,42.229,210.0918
6245.7402,8.544,2.456391,1757.002,148.201,218.3649
5242.4141,11.837,2.473161,998.5674,60.482,221.5021
4477.7329,12.193,2.470859,999.9958,42.343,225.5982
6206.2651,8.722,2.461323,1760.4102,147.171,218.3649
6504.7207,7.654,2.460008,2154.1777,203.991,190.0223
3331.4587,5.785,2.465269,2170.1858,51.556,171.4773
